drugbank_id	cancer	cardiovascular	hormonal	immune	neurological	ophthalmological
DB00657					3	
DB00658			2			
DB00659					4	
DB00660				0		
DB00661	2	4	3	4	4	
DB00662					4	
DB00663						
DB00664				0		
DB00665	3					
DB00668	4	0	0	4	1	4
DB00669				0	4	
DB00671						
DB00672			2			
DB00673	4		0	4	3	
DB00674		4			4	
DB00675	4				3	
DB00677						
DB00678	3	4	4	4	4	
DB00679					4	
DB00680		3				
DB00681	4					
DB00682	3	4	1	2.5	1	
DB00683	4	2.5	4	4	4	4
DB00684	4		1	2.5		4
DB00685						
DB00686	2			3	2	
DB00687	2		0		2	
DB00688	3		4	4		
DB00690					3	
DB00691						
DB00692	2	3		2.5		2
DB00694	3					
DB00695	1	4	4	4	3	
DB00696						
DB00697	1				3	
DB00698	4					
DB00699					3	
DB00700	2.5	4	4			
DB00703						4
DB00704	2		4	4	4	
DB00706	4			4		
DB00707	3					
DB00708	3			2.5		
DB00709	2			4	1.5	
DB00710	4			4		
DB00712	4		1	1	3	
DB00714					4	
DB00715		2		1.5	4	
DB00716				3		
DB00717	3		1	1	4	
DB00719						
DB00720	3			1		
DB00722	2	3	4	4		
DB00724	3			4		
DB00726					4	
DB00727	2	4		3	0	0
DB00728	4	0		4		
DB00731			4			
DB00732	4					
DB00734	2		0		4	
DB00736	4	4	4	4	4	
DB00738	2		2			
DB00740	2				4	
DB00741	3	4	4	4	4	2.5
DB00742	3	2	4	4	3	
DB00744	2		2	4		
DB00745	4	3		4	4	
DB00746	2	2	2			
DB00747	1.5				4	
DB00748						
DB00749	3			0		
DB00750		0	4	4	0	
DB00751				3		
DB00752				4	4	
DB00753	4			0	4	
DB00754						
DB00755	3		4	3		
DB00756						
DB00758	4	4	4	2	4	
DB00759					2	
DB00760	3			0		
DB00762	4					
DB00765					2	
DB00766	4	4	3	4		
DB00770	3	4	4			
DB00773	4					
DB00774						
DB00775		4		2		
DB00776				4	4	
DB00777						
DB00778				4		
DB00780	2					
DB00781				3		
DB00783	3	4	4	1	4	
DB00786	3					
DB00787	2			3		
DB00788	2			4	4	
DB00790	2	4	4	4	2	
DB00792						
DB00794						
DB00795	2			4		
DB00796		4	3		2	
DB00797						
DB00798	4		4	4		4
DB00799			4	4		
DB00801						
DB00802	4	0				
DB00803	4			3		
DB00806	3		4	4	2	
DB00807						0
DB00808			4	4		
DB00809			3		2	3
DB00810					3	
DB00811	1.5		4	4	3	
DB00813	4	4		4	4	
DB00814	3			4	3	
DB00816						
DB00818	4	3		4	4	4
DB00819	1	2	2	4	2.5	4
DB00820	4	2	4	2.5	4	3
DB00821						
DB00822	2.5				4	
DB00825	3		0	4	0	
DB00828	4					
DB00829					4	0
DB00831						
DB00832						
DB00833						
DB00834	3		4		4	
DB00835				3		
DB00836	3			2		
DB00838				4		
DB00839			2			
DB00841		2				
DB00842					3	
DB00843	3	4	2		4	
DB00844				4		2
DB00845				4		
DB00846						
DB00847				1	0	
DB00848	3	2	2.5	3		
DB00849						
DB00850					4	
DB00851	4					
DB00852				4		
DB00853	4					
DB00855	3		3	4		
DB00857			0	2		
DB00859	2					
DB00860	4	3	4	4	4	4
DB00861			2			
DB00862	2		4		3	
DB00863	4	0				
DB00864	2.5		4	4	2	
DB00869			0			4
DB00871			1	4		
DB00872		2				
DB00873						4
DB00874				4		
DB00875					4	
DB00876			4	4		
DB00877	3	4	4	4	2	2
DB00878	4		4	2.5		
DB00879				4	1	
DB00880				4		
DB00881			4	4		
DB00882			2			
DB00883		2.5	3		0	0
DB00884	4			4		
DB00885				2		
DB00887			1		3	
DB00888	3			2		
DB00889	4			2		
DB00891						
