drugbank_id	Acne	Acquired Hypothyroidism	Acute Glomerulonephritis	Acute Myocardial Infarction	Addisons Disease	Alopecia Areata	Alzheimers Disease	Anxiety	Asthma	Autism	Benign Brain Neoplasm	Bipolar Disorder	Bladder Cancer	Bronchitis	Burkitts Lymphoma	Cataract	Celiac Disease	Cerebral Infarction	Colorectal Cancer	Crohns Disease	Cushings Syndrome	Deep Vein Thrombosis	Depression	Dermatitis Herpetiformis	Diabetes Insipidus	Diabetes Mellitus Type 1	Diabetes Mellitus Type 2	Eczema	Emphysema	Epilepsy	Female Breast Cancer	Gastric Cancer	General Frontotemporal Dementia	Glaucoma	Gout	Hyperplasia of the Prostate	Hypotony of the Eye	Intellectual Disability	Kawasaki Disease	Kidney Cancer	Liche	Lung Cancer	Lupus	Lymphosarcoma/Reticulorsarcoma	Malignant Brain Neoplasm	Melanoma	Migraine	Non-Specific Endophthalmitis	Obsessive Compulsive Disorder	Osteoarthritis	Parkinsonism	Phobia	Picks Disease	Prostate Cancer	Psoriasis	Pulmonary Embolism and Infarction	Purulent Endophthalmitis	Rheumatoid Arthritis	Rosacea	Sarcoidosis	Schizophrenia	Skin Cyst	Sleep Disorder	Unspecified Viral Infection (Common Cold)	Uterine Cancer
DB00277									5					5									1						5													1												1										2	
DB00278																		4				4																																											
DB00279		5																																																															
DB00281	4					4		4			1		4			4		3	4				3			0	0	5		4	4	0				4				4	4	4			1	0	4	4		4	0			2			4			2.5		4		3	4
DB00282																															4																							4											
DB00283																												5																																					
DB00284																										4	5													2																									
DB00285							1	5		5		4											5								3																4		5	4	3	5		3							4		3		
DB00286																						3	4								5					2							4								2			5											3
DB00287																																		5																															
DB00288																												5																																					
DB00289							2.5	4		4													4																												4	4									4		4		
DB00290											2								2													1												5	1	5																			
DB00291																															5	3																																	
DB00292																		3					4																																										
DB00293																			4													2										3																							
DB00294																																				2																													
DB00295				4				0			4								4				4					4			0	4										4			4					4				3									0		1
DB00296											4		3	2		0			3				2.5				4				4	4										2			4		4			4				4									4		
DB00297							0				4		0			2.5			4	4			4			0	0	5		0	4					4				4		4			4		4			4				4									0		3
DB00300															4																													2						4														4	
DB00302	2.5			4							3		2.5						4			4									4					0					2				3					4						4									
DB00303													4						4							3	3									4																													
DB00304	5																																																																
DB00305									2				5			2			5									1			3	5		4						2		3																						2.5	1
DB00306																																																															5		
DB00307						2.5	2														1.5										2											3													2						3				
DB00309															4																											5		3		5																			
DB00310			5	3																						2	3																																					4	
DB00312																														5																																	5		
DB00313			2.5			2	4	4	4	4	2	4	1		1				2			1	4							5	2							0				2		1.5	2	2	4							2							4			2	
DB00315																																															5																		
DB00316				4			4		3		2							3	4	1.5		4	4			2	4	1.5		2	2			1	4					0		4	3	2		2	5			4	1			2.5	4	4		4						5	
DB00317											3		3						2.5		2										3	2								2		5			3									2											
DB00318																							1					0																						4														5	
DB00319														0												4	4																																						
DB00320																																															5																		
DB00321								3		3													5			2		2																			4														3		3		
DB00322																			5													5																																	
DB00323																																	2																2.5		5		2								2				
DB00324																																		3																									5						
DB00325				4														0					2				0							0																											2				
DB00327																			4				0																								4			3				3										5	
DB00328							3		1							4			4						0						1				5											2				5				2				5							
DB00330																																																												2					
DB00331	4			3			2.5	1		4	2	4	2					3	3		4	4	4		1	4	5				4		2	3				2.5		2		3	4	2	2	2	3			2			2	4	4			2			4			2	3
DB00332									4					5									1						5																						2													4	
DB00333											0								4				2																																										1.5
DB00334							4	4		4		5											5				0				3	2						3				4					0		4		4										5				
DB00335				5							4							4								4	4																				2																		
DB00337																												5													4		0																3						
DB00338		4		3			1			1.5									2	4			4			3	4	1			2	3		1	4			2						1		1				4	3			2	1			4							
DB00340																																																			5														
DB00341						4			4																		4	4																			1																	5	3
DB00343				5															1			1					3																																					4	
DB00344																							5																																										
DB00346																																				5																		3											
DB00347																														5																																			
DB00349								4																						5																															3				
DB00350						5																									1																																		
DB00351											2																				5											3			2																				5
DB00352											3																																		3										5										
DB00356																											4																							4															
DB00357																					5										5																							5											
DB00358							1																																																										
DB00359																												0			0																																		
DB00361											3		1						2												5	2								2		5		2	3	2								2											1
DB00363								4				5											4															3													0										5				
DB00366																												5																																			5	5	
DB00367																											1			4												1					3			1								1							2.5
DB00368				4		1		4	5			4		5				3					4						5																						5														
DB00369																			2																																														
DB00370							3	3		3		4											5																			2								0											4		3		
DB00371								5																																																									
DB00372							2																																																										
DB00373	1			5												3										3	3							5													2												1						
DB00374																										1.5	1.5		2.5																															2					
DB00375																															2																																		
DB00376																																																			5														
DB00377											2								2									0			3	2										2			2	1.5																			
DB00378																																																																	4
DB00379				3																																																													
DB00380											2				1																5													1																					
DB00381				3			2.5	4										5					3			4	4				1.5																																	4	
DB00382							5																																																										
DB00384																										0	3																																						
DB00385													5																																																			2.5	
DB00387																																																			5														
DB00388											4					4		3										5			1			5											4														4					5	
DB00390							1	5															1				1			1	2											2				1				2				2				2							
DB00391								3															0			2	2																																		5				
DB00392																																																			5														
DB00393																		4					4																																						1			4	
DB00394									5						2														4		1.5			0										2																				1.5	
DB00396							3				1	2						4				3	4							3	3														1																				5
DB00397														4																																																		5	
DB00398											2		2		1				2			4									3	2								3		3		2	2	3								2											
DB00399											2							0		3											4									3		4			2					4	4			4				3							
DB00401																										4	4																																						
DB00402								4															4																											3	3							3			0		5		
DB00404				1.5			1	5	1														5			1.5				2																						5									3				
DB00405																												5																																				5	
DB00407																						5																																		5									
DB00408									1			5																																			2														5				
DB00410																0												4																				0									0								
DB00411																																		5																															
DB00412							3		2.5		2	0	0								2					4	5				1																			2				3				2			4				
DB00413							2		2			4											5																										2		5										3				
DB00414																											5																																						
DB00415																															4																																		
DB00418																														5																																	5		
DB00419																																	3																				4												
DB00420																												5																																	5				
DB00421	4			3		4	4											4					0			4	4																							4								3						3	
DB00422							4	4		4	4	4						4					5							4								1							4				4		4	4		2.5						4	2				
DB00425							3	3		2													4								0																			4	2			1							3		5		0
DB00427																												5																																				5	
DB00428											2								5																										2																				
DB00432																			5												2	2																																	
DB00433								5																							3																4														5				
DB00434											2							1										5																	2																5				
DB00435	1.5			2					4									0	1							3	3																													2								2.5	
DB00436			5																																																													4	
DB00437										2		4			2			4								4	4								5							1.5								1.5											4				
DB00438														0																																																			
DB00440											1		4	5												4	4	2								4							4		1									4											
DB00441								2			3		3		2				2				2								5	2								3		5		3	3	2								3										2.5	3
DB00442			4																2													2																		4					3			4						4	
DB00443			5		5	4			5		2								2	5				5				5						2	1.5						4	2	5		2	2	4			4					5			5		5					
DB00444																																										5																							
DB00445													4									3									5	3										3		4		2								2											3
DB00447																																																		5															
DB00448		4	0						4																	3					3	3			3									2						3															2
DB00449																0																		5																															
DB00450																															4																																		
DB00451		5																																																															
DB00454																		3					2.5																																										
DB00455									3																			3			2											2								1								1						5	
DB00457							2	1				0																								5																											0		
DB00458				3				5															5								1																														3				
DB00459							2																					2.5																		2									5										
DB00460											1																				2														1	1.5								1											
DB00461																																																		5								5							
DB00462																																																																5	
DB00464																																																														2			
DB00465											4					4			4							2	4				3			4								1			4		4			4				2.5											
DB00469																																																		5															
DB00470							2				1	1											2					3			1							1				1	2		1		4		2	3											2.5		2		
DB00471			0				2		5					4												3	3	4																						3								3						4	
DB00472								5		3		5						4					5			1				3												2							5			3									4		4		
DB00474												4											4																																										
DB00475								5															2.5																																										
DB00476								5				4						1	2.5				5								3												0				4		4	4	4	3									4		0		
DB00477								5				4							1.5											2.5				0																											5				
DB00479														0																																																			
DB00480										2	1.5		2		2				2	2																				2		2	0	3		3								3											
DB00481							2.5						2										4								3																			0				2				0			4				2
DB00482							3				2	3	2.5						5	4			4			0	1.5				3	2				4						3			2	2	3		2	5				2.5				5			4			2	2
DB00484																3										2.5	2.5							5																				4					4						
DB00485																												4																																					
DB00486							3																					3										1				2.5							1.5		3												2		
DB00489				4														3																																															
DB00490								5		4								3					5							2								5													3										3				
DB00491																										3	5																																						
DB00492																										5	5																																					4	
DB00493																										4	4																																						
DB00494																																																			5										0				
DB00495																																																							0									2	
DB00496																																																			0														
DB00497				4							0																	3																						4	3			2.5											
DB00498																						4																																		4									
DB00499	0																																																					5											
DB00500																																																		5								5							
DB00501								1																				3			2.5									2						2																			2
DB00502							4	3				4											4							2.5	4							2									4														5				
DB00503									1		2																				1														2									1										4	
DB00507																				2							4																							3								3						4	
DB00512									4	2	0					3			2	2						4	4					1.5						2				1				1.5		3		4					0		3	0							
DB00513																						2																												4									1						
DB00514							4	2		2		3		4				2		4			4				4																			1	2		2	0	2			1	1			0			2.5			5	
DB00515								2	2		3		5		1.5				3			3	2								5	5								3		5		2.5	3	5								5										2	3
DB00516																												5																																					
DB00518																												0		2.5																																			
DB00519																										5	5																																					4	
DB00520																																								0																									
DB00521																																		5																															
DB00523																												4			3										2		2												2										
DB00524			5																																																													4	
DB00526											2		5		2				5			3									2	4								2		3		3		1.5								2											2
DB00527																												5																																					
DB00529																																																																4	
DB00530											3		2						3												2	2								2		5			3	2								2	2									1.5	2
DB00531			5								3		1		5				2	2			2			0					5	1.5	2							3		5	5	4	3	3				2			2.5	2				2		2				2.5	5
DB00532																														5																																			
DB00533							2.5				1								4													3										2.5			1					5				3				4							
DB00535														5																																																			
DB00537									4		3		3	0		4			2	3						4	4			0	3					4								1				2						4			2								
DB00539																															5																							3											
DB00540								5				4											5					1														1					4			2	3				2						3				
DB00541											3				5				3												2									3		3		5	3	2																			
DB00542																										5	5																2																					4	
DB00543																							5																																										
DB00544													3						5			2						1			5	5		4						3		2				1.5																			2
DB00545																																																			2														
DB00547																												5																											4										
DB00548	5					1																						2																															4						
DB00549									5																																																								
DB00552																																								1.5		1.5																							
DB00553																				2								3																						2					5			2							
DB00554																												0																			2			5								5							
DB00555								3	4			5											4					2		5																			2												4				
DB00557								5																				5																																	3		0		
DB00558																											2																																					3	
DB00559									2																	3	4							1												2														2.5					
DB00560																										3	3																																						
DB00561								2																																																									
DB00562			5																																																														
DB00563				2.5		3			3		3		3		5				2	5						0		4			5	5			4					3		5	3	4	3	1				4					5			5		4	2			2	
DB00564								3	4			5						3					4							5																					1										5				
DB00566										1.5																																																							
DB00567													3															2			2					4																													
DB00569				3																		5																				1														5								2	2
DB00570											2		3																		5									5		5		3		3								3											
DB00571				5				5	2	2	4		2					3	3			3	1			2	1				2	2														2.5	5		4	0		4		2											1
DB00572													0			4															2																																		
DB00573																																																		5								5							
DB00574										5																				4																																			
DB00575								4		2		4				2		3	1				4			4	4	1			2			5													3			4	2										2.5				
DB00577							2					2																			2											2				2								3							4			4	
DB00580																																																		5								5							
DB00581																				1							4	2.5																			0				0														
DB00582									1																																																								
DB00584				3														3								5	5				3												0			2				2								5						4	
DB00585																																																													4				
DB00586																0						4	1.5			0	0	0			1			4	2	4						4					4			5				2		2.5		5							
DB00588									5					4					3							1		5	5					4																					4										
DB00589																																															5				3														
DB00590				3																						4	4									5																													
DB00591																												5													0							3							5										
DB00592											2								3									2			2											2			1	2																			
DB00593																							1							5																	1.5																		
DB00594			3									4													4	0	4																				2																		
DB00595	5													5																																																			
DB00596																												5																											4										
DB00598				5														3																																															
DB00599																							0							5																																			
DB00601																										4	4																																						
DB00602																												2		4	2																												4					3	
DB00603							2.5															3	4			1					5									3			3																						5
DB00605																			3												2											2				2				5								5							
DB00606			5																																																														
DB00608											2																				2											1	5		2					4								5						4	
DB00611								2																																																									
DB00612				5																							4				3																																		
DB00615																				4																																													
DB00617																														5																																			
DB00618	5										1			5																															1																				
DB00619									2		2				1			3	2							2					4	2								2		2		1	1.5	2				2				2				2							1.5
DB00620	0		5		5	5			5		2					4		4		5				5		3	3	5			2			4	4						5	2	5		2	4		5		4					5		4	5		5					
DB00622											1							3																											1																			4	
DB00623								3																																															2						5				
DB00624				2.5			3	0			0												4				4				5					4																		3											
DB00625							1																0				1				2																							2											
DB00626																										4	4	2																																					
DB00627	4			3			2	1.5					3					3					2			3	4															2.5	2	1					1		0				2.5						4				
DB00628								5															4							5																	3																		
DB00630									2.5														4								3																			4				3				4							
DB00631															2																													2																					
DB00633				0			1	4		4	4	3	0			4		4	4				4				0			4	3	4		4		0	0			4		4			4					4	4			0							3		4		0
DB00634	5																											5																																					
DB00635			5		5		3		5		3				2	4			3	5				5			4	5			2		1.5	4	2					2	2	4	5	5	2	2		4		4	1.5		1.5	4	5			5		5				1	
DB00636				3																																																													
DB00640				3			2		4																		0				1			3								1					0																		
DB00641				4		1	4		3		2	4	2				2.5	5	3			3	4			4	4		4	1	3	3										2	4		2		2			4	2			2				4			4		1	2	
DB00642											3		2						2												2	3								2		5		2	3	2								2											2
DB00643											2								3									2			2											2				2																			
DB00645																												5																																					
DB00646																																									1																								
DB00648																					5																																	1											
DB00650										2.5	3		2		2				4			3	3			2	2				2	4										1.5		2	3	1.5				2					1			2			3			2	2
DB00651									5					5															5																																				
DB00652												2																																																					
DB00653									4		4			0				3	3			0				0	0				3	4													4					4				0											
DB00654						4										2										4	4							5																															
DB00655	5																														5																							5											
DB00656							3	3										4					5																																						4		5		
DB00657										1													3																																						0				
DB00658																										2	2																																						
DB00659								4		2		4											4																												0	4									4				
DB00660																																																		0															
DB00661				5						0	2	3						1		1						3	2			2															2		4			1.5														4	
DB00662																																																			4														
DB00663																												5																											5										
DB00664																				0																																													
DB00665																																																						5											
DB00668				0					5		4			5		4			4	4			1			0			5	0		3		5						4		3			4					4														0	
DB00669																																															5												0						
DB00671														5																																																			
DB00672																											5																																						
DB00673																			3				3				0	4			4											3				2																			4
DB00674							5	3		3		4						4					4										2																		0		2								4				
DB00675											2	3	2																		5															2								3											3
DB00677																																		5																															
DB00678							2.5				2	4		4				4		4			4			5	5		4		2											3	0		2	1				1.5											4			4	
DB00679								3																																																					5				
DB00680				3																																																													
DB00681	5													5					4																																														
DB00682				5			1											5		1		5	1				1	1		1													2.5							1	1			3	1	5		1						2	
DB00683				1			1	5		1	1	4	4			4		2.5	4	4			4		4		4	1		3	3				4							4			1	1			2	4	1			4	1			1			3			1	
DB00684														0		4			4							1	1							4																2.5									5						
DB00685														5																																																			
DB00686												2	2																																					3											2				
DB00687					5						2												1			0																			2	2					2														
DB00688			4								1				2					2						4	4	4			1.5									2		1.5	4	3	1	2				2					5			1		3				4	
DB00690								3																																																					3		5		
DB00691																										5	5																																						
DB00692																		3																2																				2										2.5	
DB00694													2		1				1												3	1										1		2		1																			1
DB00695			5	3							0															4	4																		0	1					3					4					1				
DB00696																																															5																		
DB00697																																														1	3																2		
DB00698													4																							4																													
DB00699								3																																																					3				
DB00700				4																						2	4				2.5																																		
DB00703																																		5																															
DB00704						2				1.5		4								2			4			1.5	4	2			2							3		2	2					2	2.5		2	4	4			2	2			4			4			2	
DB00706													4						3																	5														4				3											
DB00707											3		1.5																													5			2																				
DB00708																																																		2.5				3											
DB00709							1.5												2																							2																						4	
DB00710																															3											4	4							4				3				4							
DB00712							3																0				1															4								5								5							
DB00714																																																			5														
DB00715				2				5				4											5																								4		5	1.5	3	5						1.5			3		4		
DB00716									5																			5																																					
DB00717	5																										1				3												1				4			1					1			1							
DB00719																												5																																				5	
DB00720																															3																			1				3											
DB00722				5														1								5	5				2											2	2											1										4	
DB00724						4					1		2						3												2	1										2			1	3									0									3	
DB00726								3															5																																						3				
DB00727				5														3	1			1.5												0								2					0			3								3			0			0	
DB00728													4					0	0																	4						2.5								4				2											
DB00731																											5																																						
DB00732																			0												0					4																													
DB00734							4	4		5		5											4				0											3				2							2		4										5				
DB00736		4		4					3	2									4								3	2			2	0																		4					4						4			0	
DB00738																			2							2																2				2																			
DB00740							2	2.5		2	1	2							1				4								1														1	2			2			2.5									0				
DB00741	5		5	2.5	5	3			5		2				2					5		4	4	5		1		5			2			2.5								2	5	2	2	2				4	2	2		3	5			5	5	5					
DB00742									4		2							2								4	4													3					2					2.5	3				4									2	
DB00744	2								5																																	2																							
DB00745							4				3	4						3					4																			4	0		3	1				4	2			3						2.5	4		4		
DB00746				1														2								2	2				2																																		
DB00747							1	1				2											4																													1												5	1.5
DB00748																												5																																				5	
DB00749																			3												0																			5				2				5							
DB00750	4							0										0								0	0																							4															
DB00751																												3																																					
DB00752								3				4											5																											4											3				
DB00753							4		5										0				5								4											4								0	0														
DB00754																														5																																			
DB00755	5					1					2																		2		3									2		2			2	2								2	2				3						
DB00756	5																																																																
DB00758				5					2									5				4	1			4	4		2		2	4															4																	2	
DB00759	5						2							5																																																			
DB00760													3	0																																																			
DB00762											3		2		1				5												5	5								2		5		1	3	1								1											1.5
DB00765										2																																																							
DB00766											3		3	4								4				3	3																		1									4		4									
DB00770				4														4				4				4	4																											3											
DB00773											5		5		4				2												3	3								3		5		4	5	1								5											5
DB00774			5																																																														
DB00775				5														5				2																																										2	
DB00776								3	4	0		4											4							5																															3				
DB00777								5																																																							5		
DB00778						0																																												4								4							
DB00780																							5								1																							2											
DB00781																												3																																					
DB00783	5						2.5					2							1			4	4			1	1				5												1				4			1				5	1			1			3				2
DB00786																															3											3																							
DB00787																																										2		1.5										2										3	
DB00788							3	4											2												2				5												5		4	5				2				5						5	
DB00790				5			2												2							5	5				2																																	4	
DB00792									5																			5																																					
DB00794																														5																																			
DB00795											0																				2														0					4					4			5							
DB00796				0														4								5	5																				2																		
DB00797																						5																																											
DB00798																			3							4	4	4								4												4									4								
DB00799	5																																																						5										
DB00801								5																																																									
DB00802																		0																								4																							
DB00803														3					4																																														
DB00806			3			0					2	1						5	1	1		5	2			5	5				3											2	4		2					0										2	1.5				
DB00807																0																		0																															
DB00808			5																								4																																					4	
DB00809																3										3	3																								2														
DB00810								3																						3																					5										3				
