drugbank_id	Acne	Acquired Hypothyroidism	Acute Glomerulonephritis	Acute Myocardial Infarction	Addisons Disease	Alopecia Areata	Alzheimers Disease	Anxiety	Asthma	Autism	Benign Brain Neoplasm	Bipolar Disorder	Bladder Cancer	Bronchitis	Burkitts Lymphoma	Cataract	Celiac Disease	Cerebral Infarction	Colorectal Cancer	Crohns Disease	Cushings Syndrome	Deep Vein Thrombosis	Depression	Dermatitis Herpetiformis	Diabetes Insipidus	Diabetes Mellitus Type 1	Diabetes Mellitus Type 2	Eczema	Emphysema	Epilepsy	Female Breast Cancer	Gastric Cancer	General Frontotemporal Dementia	Glaucoma	Gout	Hyperplasia of the Prostate	Hypotony of the Eye	Intellectual Disability	Kawasaki Disease	Kidney Cancer	Liche	Lung Cancer	Lupus	Lymphosarcoma/Reticulorsarcoma	Malignant Brain Neoplasm	Melanoma	Migraine	Non-Specific Endophthalmitis	Obsessive Compulsive Disorder	Osteoarthritis	Parkinsonism	Phobia	Picks Disease	Prostate Cancer	Psoriasis	Pulmonary Embolism and Infarction	Purulent Endophthalmitis	Rheumatoid Arthritis	Rosacea	Sarcoidosis	Schizophrenia	Skin Cyst	Sleep Disorder	Unspecified Viral Infection (Common Cold)	Uterine Cancer
DB06700								4															5								4																					4													
DB06702																																																			4														
DB06704																																																			4														
DB06709									4																																																								
DB06710				2.5			3	0															0				4				5					2																		3											
DB06712							3																																																										
DB06713																						0																																											
DB06715																																																																5	
DB06717																			0									3			3											2				2																			4
DB06719																																																						3											
DB06723									2									3	1.5							3																				2								1										2	
DB06724																			2	1			4			2	2				3																			2				3				2					4		
DB06725							2						4																																		2			0															
DB06735																											2																																						
DB06736																																																		5								5							
DB06742														3																																					2														
DB06754																						5																																		5									
DB06755				2												3				3																														2.5															
DB06756																							4																																										
DB06757																			1.5																							1.5																							
DB06767																																																																5	
DB06768																												5																																					
DB06769											2				2																2											2		3	2																				
DB06770																												5																																					
DB06771																4																																																	
DB06772																																																						5											
DB06774						4												2										1.5			3																1			4	1.5				4									4	
DB06777																											0																																						
DB06779			1.5	5							3							4	3			5				2.5	3				3	2								1.5		4			3					4				3		5								4	
DB06781																4																																3																	
DB06782									1																																	1																		0					
DB06784											1				2																													2	1																				
DB06786																												5																																					
DB06789																															2.5																																		5
DB06791																																3																						3											
DB06800				4																																																													
DB06802																4										3	3							0																															
DB06803																			2							3	3																							1.5				2				1.5							
DB06809															0				1							1.5	1																	2																					
DB06810																																										1.5																							
DB06811																																														2																			
DB06812																0										0	0				4																			1														1	
DB06817																							1																																									3	
DB06819							2				2								1.5													2										2			2						1			2											
DB06822			1.5	4							3							2	3			5				2.5	2.5				3	2								1.5		4			3					4				3		5									
DB06824																2										0	2																			1																			
DB06825																															3												2											5											
DB06826																																		5																															
DB07232											2		1		1.5				2												3	1								1		3		1.5	2	2								2											1
DB07615																																																		2								2		1					
DB08162				4																																																													
DB08329																														3																																			
DB08439																																																		4															
DB08486											3																				3											3			3																				
DB08604																												4																																					
DB08799																												5																																					
DB08801																												0																																					
DB08804																															5																																		
DB08813				5														4				5																				3														5									
DB08814																		4																																															
DB08815										3		5											5																																						5				
DB08816				5														5				4					4																				4			4								4							
DB08818											0		3			4		0								0	0		2		2			3																4															
DB08819																																		5																															
DB08820														4																																																			
DB08822																											4																																						
DB08826				1			2											2																																	2.5														
DB08831											2								2												1	2								1.5		3		1	1									1.5										1	
DB08834							2		1																	2																																							
DB08839								4	4			4						2					4							0																			4																
DB08841																																																			3														
DB08842							4					2											2				3															3					4																		
DB08844																		2.5																	0															0								0							
DB08860		0		4			0																				4				2.5																																		
DB08862																											0															1																							
DB08865													2						2												2	2								2		5				2								2											2
DB08867																															2																																		
DB08868									2									2					4				4				1																	2													2			2	
DB08869																										4	4																																				2		
DB08870															1.5																											2	2	5																					
DB08871																															5																																		
DB08872												5																		5																						5													
DB08878													2																		2																			2					2			2							2
DB08879			2																										2														5							2								2							
DB08880																	1.5																																						5			5							
DB08881											2								2												2											2.5			2	5																			
DB08882																										4	5															1.5																			4			4	
DB08883																														5																																			
DB08885													2			4			4							5	5				2	2		3						2		3				3								3											2
DB08886																															2.5																																		
DB08887				4			2.5					4							3				3				4				1.5																														2.5				
DB08890																			2																																														
DB08893																											0									4															4			2											
DB08895						4														2			1.5					2															1.5	2						4					4			5		1					
DB08896																			5																																														
DB08899																																																						5											
DB08900																				2																																													
DB08901																															1											2																							0
DB08904																				5																						2				1				4					5			5							
DB08906									5																																																								
DB08907																										4	5				2																																		1.5
DB08908																		2																									2							2					4			2							
DB08910											2				1				2																									2	2									2											
DB08911											4		2						2												2	2								2		5			2	5								2											2
DB08912											4		2						2												2	2								2		4			2	5								2											2
DB08913																															2											2												5											
DB08916											2		2						2												3	2								2		5			2	2								2											2
DB08918										4								0					5							4													4				4			4								4							
DB08930																																																																2	
DB08931																																																												4					
DB08934																																																																4	
DB08935															2				1.5												1											2	3	3		1																			1
DB08936																												5																																				5	
DB08997							4	1	4	2		0						4					4									3										3							4		3												4		
DB09015				3																																																													
DB09016																							5																																										
DB09017								3																																																					3		3		
DB09019																																																																3	
DB09020										0									1																																														
DB09022																											2																																						
DB09027																																																																3	
DB09029																																																							5										
DB09030				5														5																																															
DB09033																	2			5						1																1.5				1.5									4										
DB09034							3	4		2		4											4				4																								4												5		
DB09035											3		5		2				3	1											3	3								5		5	1	2	3	5				1				3	1			1							2
DB09036																			1.5							1														2		1.5												2							1.5				
DB09037											3		5		1.5				3			2									3	3								3		5		2	3	5								3										2	3
DB09038				4			2													1						4	5			1																																			
DB09043																										2	5																																						
DB09045																									2	4	5																																						
DB09049													2																													2																							
DB09052															1.5																													2																					
DB09054																															1											1.5		2																					
DB09055																										3	2.5																																						
DB09061								5		2.5		2.5							1.5	2.5			2.5				2			5	3							2									4		2	4	2	3		1	2			1.5			2		2		
DB09063											1																															5			1	2																			
DB09065																																										1																							
DB09068								4				4											5				4				4																					4									4				
DB09069																										2	4																																						
DB09070								5															4								3																																5		
DB09072							4			0		0											0																												4										2		2		
DB09073											2		2						2												5	2								2		2.5			2	2								2											2
DB09074											2		2						3												4	3								2		3		1	1.5	2								4											3
DB09075				0														5				5																																		5									
DB09076														5															5																																				
DB09077																																										2.5																							
DB09078											2		2						3			4									2	2								2		3			2	3								2											3
DB09079																			3												2											5				1.5								2										4	2
DB09080									4					5															5																																				
DB09081																																															4				4														
DB09082									5					5															5																																				
DB09085	4															3												5																						1.5															
DB09087																			1.5							3																				2																		0	
DB09096	5																											5																						4									5						
DB09099																					4					2.5	2.5					4										2				4								4											
DB09106																																								4										4				4											
DB09110									2		1																													1					0	2																			
DB09111																																								4										4				4											
DB09118																														5																																			
DB09119												2																		4																	2																		
DB09121																																																							5			5							
DB09125																																4																																	
DB09126																		2													0																																		
DB09128							3	3		3		4											5																																						5				
DB09130																			1												4																				1			1											
DB09132				1																							4				1																																		
DB09138																																																						3											
DB09141																										3	4																																						
DB09146																			4	3																						0								4															
DB09151							3																																																										
DB09154															2	2						2.5				1					4							2						2											4									5	
DB09161				4																						4	4				1								3	2		2																							
DB09167																							5																																										
DB09185																							5																																										
DB09208																																			5																														
DB09209																																																																0	
DB09210								3										4																																											3				
DB09212																																																		2								5							
DB09213																																																		5								5							
DB09214								0			4																																		4		4			0															
DB09220				4																							0																																						
DB09224																																																			2														
DB09225																																																													4				
DB09232																		3																																															
DB09236																											4																																						
DB09238																											3																																						
DB09241							3					3							3												2	0														0																			
DB09242																										4	4																																		4				
DB09255																						5				2																														5									
DB09256													3						4												3	5										2																							
DB09257																																5																																	
DB09258																						5				3	3															2														5									
DB09259																						5																																		5									
DB09260				5																		5																																		5									
DB09261																						5																																		5									
DB09265																										4	5																								2														
DB09267																																																		0															
DB09269											2																																																						
DB09270							1					2										0	2			2	2	2			1							0			1						4				3														
DB09274																			2	2											1												4																					2	
DB09275																																																																5	
DB09276																																										1																5							
DB09278									2														1				1															2																							
DB09286								3															3																																						3				
DB09287										2									4	2																																													
DB09289										0		3											4																																										
DB09290																			0													3																		4				0											
DB09292				4																							4				4																																		
DB09298	4																						3			2	2															2																							
DB09300							1	1				2											4																													1													1.5
DB09301																																																		5															
DB09302				5																																																													
DB09303				5																							4															2																							
DB09312											1				2					1.5						3					2									2			2	2	1	1.5				0			2.5					0							
DB09314																																																																	1
DB09317																															5																							5											
DB09318																															5																							5											
DB09321																												5																																					
DB09322																							0																											4									0					5	
DB09324																															4																																		
DB09325																																																						3										2	
DB09330											3		2						2												2	2								2		5			3	2								2											2
DB09331							2						1						2												1.5									1		1.5	2	2										2											
DB09335														5																																																			
DB09343																			5																																														
DB09345																							2					5																																					
DB09351																																		5																															
DB09353	5																											5																																					
DB09357																												5																																					
DB09369	4						2.5															4	4			1	1				5												0				4							5							2				
DB09378																3																																																	
DB09381																															5																							5											
DB09389																											1			1												1								1								1							2
DB09397																						0									2																																		
DB09401																		2.5								3	3							0													0																		
DB09421		0																																																															
DB09447																																										2																							
DB09462									1	0								3				0					2	5																							1														
DB09472																			0																																														
DB09477																		3								5	5				0																			2								5							
DB09488																																																																5	
DB09496																												0																																					
DB09502				1			2		4		2		2						2												2	2	2							2		2		2	1	2					2		2	2						4					1.5
DB09512																			3													4																																	
DB09527										3									3																														2												2				
DB09536											1																																		1																				
DB09543																											0																							5															
DB09550	5													5																																																			
DB09555																												5															3											4										3	
DB09559																			2																							5																							
DB09564																										5	5																																						
DB09570															1.5																1.5												1	1.5																					
DB10299																			5																																														
DB10300																			5																																														
DB10301																			5																																														
DB10302																			5																																														
DB10310																			5																																														
DB10311																			5																																														
DB10312																			5																																														
DB10313																			5																																														
DB10314																			5																																														
DB10343													5																																																				
DB10994																			5																																														
DB10995																			5																																														
DB11057									2																			4			1															1.5																			
DB11058																										4	4	4			1																								2.5										
DB11059											1					4			1.5							3	3				2			0											1	2								4											
DB11061											0					0										0	0				4																			1														2	
DB11064																												0																																					
DB11073																																																																2	
DB11082																												5																											5										
DB11085	5																																																										5						
DB11086																												5																																					
DB11091	2																														2																																	2	
DB11094	4		4	4		4	3		4	2.5	2.5	0		3				4	3	4	1		4			4	4	4		4	3									2		3	3	3	2.5	3	2			4	2			3	4			4		4	3			4	2
DB11095																						5																																		5									
DB11097																											4				2																																		
DB11105																																		4																															
DB11110																										2	2											2																											
DB11123																										2	2	4			2																																		
DB11124				0					3							4				0																														4															
DB11127																															2																							1											
DB11129																																																						1											
DB11130																				5																																													
DB11135													3			3		0	3																							3												3											
DB11136				0																			0			0	4																							2.5								2.5							
DB11157																																																							5										
DB11175																							0				4																																						
DB11198						1													3									5																																					
DB11218																2.5																																																	
DB11231																			2								0														4													2											
DB11238									1.5																																									3								3							
DB11239																			1.5							3																				2																		0	
DB11248																																																																5	
DB11251				3			5		1							3			4				2				2.5				3			3								3									3			3							2.5				
DB11255																							0				4																																						
DB11286																												5																																					
DB11300				4																		4									4																			4															
DB11341											2				1																3											0		1	2									1											0
DB11358																												4																						0								0							
DB11362																																																												2					
DB11363																																										5																							
DB11510																															2																																		
DB11560																																			4																														
DB11569																							2			2		2													1									4					5			4							
DB11580																																											2																						
DB11581															2																2											1.5	1	2.5										1											
DB11595											2		5						3												3	2								3		5		2	2	3								3											3
DB11596										2.5	2				2				4			3	3			2	2				2	4										1.5		2		1				2								2			3			2	2
DB11597				3			3	3		4	1							1		1.5		2								3									3				2		1				3												3			3	
DB11611																4																																																	
DB11613																																																																4	
DB11616																															4																																		
DB11630																																										1																							
DB11632																														1																					5														
DB11633																																																																3	
DB11638																																											2																						
DB11646																			2																							1.5		1																					
DB11651																															2									1.5														1.5											2
DB11652											2								3												5	2										2			2																				2
DB11656																																																		3								3							
DB11664							1	2				2											2																							2	1		1.5		2														
DB11669																															2									2		2																							
DB11670																		2																																															
DB11672							2		2			2							3	3			4			2.5	4	2.5			2										2	1.5	2							3				3				1			4				2
DB11673																										3	3																																						
DB11675																		0	0								4					0																																	
DB11676																																																																1	
DB11678															2																											2		2		3																			
DB11693																																											5																						
DB11698																										3	4																																						
DB11699																			3																																										3				
DB11703															1.5																											2		3						2								2							
DB11708																																																		3					2			3							
DB11714											2		3						2												2	2								2		4		2	2	2								2										2	3
DB11716											2																				2											2			2	2																			
DB11718																																														5																			
DB11720																										2	2																																					2.5	
DB11724																															1.5																							2											
DB11727											2								3			2									3	3										4			2	2																			
DB11730																															5																																		
DB11732																																															5																		
DB11740											1.5		2						2												2	2								2		2				2								2											2
DB11748							2																			4	4																																						
DB11750						4										3			2			1.5						5													2.5									3					4			3							
DB11752							2								1				2												2	2								2		2		2		1								2											
DB11757																																																			5														
DB11758																											2																																						
DB11759											1																															2		1.5		1																			
DB11760											1.5								1												5	2								1.5		2				2								3											2
DB11763																																										1																							
DB11764																																												1						2								2							
DB11765																											2																																						
DB11767																																																										5							
DB11771													3						2												2	2								1.5		3		1		3								2											2
DB11776									2											2								4																						4					5			2							
DB11781																																										1.5																							
DB11783																											3																																						
DB11791																																										5																							
DB11793											2		2						2												3											3				2								3											3
DB11804																																																		2								2							
DB11805							2												2												2	2										2				2					1			2											
DB11812																			3																	2																													
DB11815													1														2				1.5											1				1																			
DB11817																																																										5							
DB11823								1			2.5	4								4			4								0																														4				
DB11824																										2	4																																						
DB11827																										4	4																																						
DB11828																															5																																		
DB11829																										3	3																																						
DB11830																															1	1										2		1.5		1								1											
DB11832																																										2																							
DB11834																																																							5										
DB11837																					5																																												
DB11841											1.5		2		1				2												3									1.5		2		1		2								1											1
DB11842				3			2.5																			0	4																																						
DB11851											1																																		1									2											
DB11853																																																						5											
DB11859							2																4							2																	2																		
DB11868							2	3			4	4						3					0							4															4		0		2.5		4	2									3				
DB11873																																			2																														
DB11875																															2												1											2											
DB11886											1.5		3						1.5												2	2														2																			
DB11888									1																																																								
DB11892														3																																																			
DB11894																			2																							2																							
DB11896																			2												3											1.5																							2
DB11898																		2.5								1	4																																						
DB11901																																																						5											
DB11906																											1.5																																						
DB11918																			1.5																					2		2				2								1											
DB11919											2				0				2																									0	2	2																			
DB11936																											2																																						
DB11938																												5																																					
DB11944																																																																4	
DB11945											1		3						3												3	3								3		3		3		2								2										2	2
DB11949								2															2																													2											2		
DB11951							2																																																								5		
DB11960											1																				1									2		3				1																			
DB11963																																										5																							
DB11967																																														5																			
DB11972																			1.5													3										2.5												1.5											
DB11973											2																				1.5											2			2																				
DB11976																																											5																						
DB11986											2								2												2											5			2	2																			
DB11988																																											3							3								3			1.5				
DB11994																											3								4															4								2							
DB11998																																																																3	
DB12001																															5																																		
DB12015																															5																																		
DB12016																																																							2										
DB12017																		4																																															
DB12023									5										3									2																																					
DB12025																				2.5																						1																							
DB12028																																																						2											
DB12035	5																																																										4						
DB12036																																										3																							
DB12053																				2																																													
DB12054				2																							0																																						
DB12056											2								2												2											1.5			2									2											2
DB12070																																																																2	
DB12072																															1	1										1												1											
DB12081																										2	2							2.5																															
DB12083											1																																		0																				
DB12086									3																																																								
DB12089																																										1.5																							
DB12092																																				4																													
DB12093																																																													0				
DB12094																				2																																													
DB12116							2.5						2						2							2	2				1			1.5								2												1											
DB12117								2	2		3		3		1.5				3			3	2								3	3								3		4		2.5	3	4								3										2	3
DB12123																		2																																															
DB12126																											0																																						
DB12127																															4																																		
DB12131																		2.5												1.5																																			
DB12137									2																																																								
DB12149																																										1.5																							
DB12151																																																																3	
DB12153												4						4					0											4																											2				
DB12157																																																		3															
DB12159																												5																																					
DB12160																																			2															4								4							
DB12163																		3								4	4																																						
DB12169																												5																																					
DB12172																																																																0	
DB12179																															2																																		
DB12182									2		2																				1									1		1				2																			
DB12185											1																				2	2										2												2											
DB12189																				3																																													
DB12191															1																											3		1		1.5																			
DB12192														2																																																			
DB12193																																											2																						
DB12194																															3																																		
DB12202																			1.5																							2																							
DB12208																			4													4																																	
DB12216																												3																																					
DB12222																																										2																							
DB12223																												2.5																																					
DB12232																																										1																							
DB12236																											3																																						
DB12240																																												5																					
DB12243				4			2											4																																															
DB12248									4																																																								
DB12251																																		2.5																															
DB12257								2	2		3		3		1.5				3			3	2								3	3								3		4		2.5	3	4								3										2	3
DB12267																																										5																							
DB12274							5																																																										
DB12275																															2																							2											
DB12286				4														2																																															
DB12290																																																		2								2							
DB12291																																										3																							
DB12293																			0												0	3								0																									
DB12308							2																4							2																	2																		
DB12319																																			3																														
DB12321									2																																																								
DB12328																																																										1						2	
DB12332													2						1.5							2	2				2	2										2												3											2
DB12335																																																		3															
DB12340																															1											1.5		2		1.5								2											
DB12344																												2																						2					1			2							
DB12361																		2																																	2														
DB12371																		2																																															
DB12376																															1																																		
DB12379																																																							0										
DB12385																			2																																														
DB12391											2																				2											2			2	2								2											
DB12401								3																																																					4				
DB12406																										2																																							
DB12415																																																						3											
DB12417																											4																																						
DB12422										2			2										4				2															2				1					2			2							2				
DB12436												1																																																			2		
DB12445																			1								2																																						
DB12447	4																																																																
DB12449						2													1									1																																					
DB12453																																																																2	
DB12457																																															5																		
DB12458																														1																					1														
DB12459																																										3																							
DB12465																										1.5	1.5																								0														
DB12466																																																																3	
DB12472														3																																																		3	
DB12473											1											4																																											
DB12478																																																			3														
DB12484											1		2																		2											2																							
DB12492																			4																																														
DB12498									1																															1		1		1.5																					
DB12518																							1																																										
DB12522																																																							2										
DB12525							2				2		2		2				2	1.5											3	1								2		2		2	2	3								3				1							1.5
DB12534																																																		2								2							
DB12539																																										1																							
DB12543												5																																																	5				
DB12545																		4																																															
DB12549											2																				2											2				2																			
DB12551							1																3																																										
DB12554													0																																																				
DB12561																			1												1															1																			
DB12565																															1											1		2		1																			1
DB12571																																																		2								2							
DB12577																																										2																							
DB12579																																																													2				
DB12582																																											2											2											
DB12589																																												2																					
DB12590																							3																																								3		
DB12593													3																																																				
DB12596																																										2																							
DB12598																																																																2.5	
DB12610												2											1			2.5	2.5																																					2	
DB12612																				3																																													
DB12617			3																																								3							3								3							
DB12618									1																																																								
DB12622	0																																																																
DB12624																												2																																					
DB12637																															2																							1.5											2
DB12638																															1																																		
DB12647				3			3		1							3			2												3			3								3									3			3							2.5				
DB12649																											2.5																																						
DB12661																		3																																															
DB12671																											2																																						
DB12674																																										5																							
DB12677																																										2																							
DB12681																																										2																							
DB12687																																																																1	
DB12692																										2																	1.5																						
DB12695																																										2																							
DB12697																																												1.5										1											
DB12701																																														1.5								2											
DB12704												1																																																					
DB12710								3																																																					5				
DB12713																										3	3																																						
DB12726																																																								4									
DB12730																																								2														2											
DB12736											1																															0			1																				
DB12739																										2	2																																						
DB12749																		4																																															
DB12753							1																																																									4	
DB12768							2						4						3							2					1											3				2.5								2										4	
DB12769																																										2																							
DB12771																															2.5																																		
DB12773																																											2												1										
DB12783																																																			4										1				
DB12791									1																																																								
DB12797																																														2																			
DB12808	5																																																																
DB12822																										2																																							
DB12831																																																																2.5	
DB12833							4	4																																																					4				
DB12846									2																																																								
DB12867								5															5																																						5				
DB12869																																																			2														
DB12870																																														1																			
DB12873											3																																		3																				
DB12881																															1																							0											
DB12883																																																			2										2				
DB12890																																																													2				
DB12893																															5																																		
DB12898		4																		0					0																						4			3															
DB12902											2.5																																		2.5	1.5																			
DB12916											3																																																						
DB12923									2																																																								
DB12926																		0																																															
DB12927																		0																																															
DB12930								3																																																					3				
DB12935																											2																																						
DB12941																																																						5											
DB12942																												4			2																																		
DB12947																																4																																	
DB12965	5																																																																
DB12972							2																4							2																	2																		
DB12973																												3																											3										
DB12982										1																					1																				2														
DB12991																										2																	1.5																						
DB13005																															1																																		
DB13007													5																																																				
DB13014																																																							2										
DB13025								3																																																					3				
DB13026																			3																																														
DB13029																																																		2					1			2							
DB13030															1																													1																					
DB13036									2.5																																																								
DB13041																																																																2	
DB13044											1				1																											3		1										2											
DB13046																			1																																														
DB13063																												2																																					
DB13082							2																																																										
DB13083	2																																																						2										
DB13089																							1.5																																										
DB13100											1							2.5								0	3				1											2			1									2											
DB13104											2																															3			2	2																			
DB13112																			1																																														
DB13116									3																																																								
DB13124																						3																																											
DB13132																																																													3			2	
DB13136																						4																																		4									
DB13144				4			2				3		2		2			2	1							2	1.5				4									3		2		3	1	1					0			4	1										3
DB13145											2																															3																							
DB13158																												3																																					
DB13166																											4																																						
DB13178							2	1.5		4		4							1.5	1.5			1				4															2																							
DB13179									5																																																								
DB13191																							2																																										
DB13196																																																															5		
DB13209																																																																5	
DB13225																							5																																										
DB13273							0	3				2											4															2											1												4				
DB13295																			0												0					4																													
DB13312																											3																																						
DB13375																			3																																														
DB13529																										4	4																																1					2	
DB13647																			3																																														
DB13679																																											3											4										3	
DB13689																																																							3										
DB13700																										3	4																																						
DB13751																																																		1.5															
DB13800													3																																																				
DB13809																			1												2											3												2											3
DB13811													1.5		2				1.5												1.5	1.5								1.5		2.5		2		3								2											
DB13867									5					4					3				4			1		4	4					4																					4										
DB13872								3																																																					3		5		
DB13877											2																				3											3			2																				2
DB13896																			1												2															5																			
DB13909																																																																5	
DB13931																																		5																															
DB13943				2.5			3	0															0				4				5					2																		2											
DB13944				2.5			3	0															0				4				5					2																		2											
DB13946				2.5			3	0															0				4				5					2																		2											
DB13952																															5																							5											
DB13953	4						2.5															4	4			1	1				5												0				4							5							2				
DB13954	4						2.5															4	4			1	1				5												0				4							5							2				
DB13956	4						2.5					2							1			4	4			1	1				5												1				4			1				5	1			1			3				2
DB13959																	5																																																
DB13961																																																										5							
DB13973				2										2						3						2			2																																				
DB13985											1.5																				2	1										1.5																							
DB13997																																																																4	
DB14001				3			5		1							3							2				2.5				3			3								3									3			3							2.5				
DB14002				3			5		1							3							2				2.5				3			3								3									3			3							2.5				
DB14003				3			5		1							3							2				2.5				3			3								3									3			3							2.5				
DB14004																																																							5										
DB14007				3							1										2																								1																				
DB14039																																															5												2						
DB14040																																															5																		
DB14041																																															5																		
DB14042																																															5												2						
DB14043																												2.5																			3																		
DB14089										1.5																																																							
DB14090																																																		1															
DB14123																			3								0	4				3															0			2.5														4	
DB14126															4																													2						4														4	
DB14156																																																																1	
DB14184																												0																																					
DB14185																							4																																						5				
DB14240																																																																5	
DB14276																										0	0																							3					2.5										
DB14360																																				5																		1.5											
DB14409																																																																5	
DB14410																																																																5	
DB14476							5																																																										
DB14477							5																																																										
DB14482	1.5									1			1.5			3			3				2			4	4	0			1.5	3				2						2		2						1.5				3										5	2
DB14484	1.5									1			1.5			3			3				2			4	4	0			1.5	3				2						2		2						1.5				3										4	2
DB14487																																																																5	
DB14488																																										2																							
DB14489																		2																																															
DB14490	1.5									1			1.5			3			3				2			4	4	0			1.5	3				2						2		2						1.5				3										4	2
DB14491																			4																																														
DB14507												5											5																																										
DB14509							2			3	2	5			0			3	2				5								0		2									1.5		0	2						1		2	1							4		4		
DB14512						1			4										3									5			3																								4										
DB14514													3																																																				
DB14517																																																																2	
DB14518																												5																																					
DB14533																																																																5	
DB14539					4				5		2				2								1			1		5																2							2			3	3										
DB14540									5																			5																																					
DB14541									5																			5																																					
DB14543					4				5		2				2								1			1		5																2							2			3	3										
DB14544									5																			5																																					
DB14545					4				5		2				2								1			1		5																2							2			3	3										
DB14548																							0																											4									0					5	
DB14574				0							3								3												3											2												3											
DB14581																																																						1.5											
DB14585																											4				2																																		
DB14596																4																		4																									5						
DB14631			5	2		4			5		5				2	4		3	2	3	2			5		4	4	5		1.5	4			4	2.5				1			2	5	3	5	2	4			4				3	4			5		5				4	
DB14632			5						5		5													5				5															5		5													5		5					
DB14643			5						5		5													5				5															5		5										0			5		5					
DB14644			4	2		4			4						2	4		3	2	3	2					4	4	4		1.5	4			4	2.5				1			2	4	3		2	4			4				3	4			4		4				4	
DB14646			4		4		3		4		3				2	4			3	4							4	2			2		1.5	4	2					2	2	4	4	4	2	2		4		4	1.5		1.5	4				4		4				1	
DB14649					5				5		2				4	4								5		3	3	3			4										2	4	5	4	2		4			4				4						5				3	0
DB14669						4																						4													4		0							4					4										
DB14674																															2									2														5											
DB14684																											0				2																																		
DB14685																																																																5	
DB14692																										0	0																							3					2.5										
DB14707											1.5								3												2									3		3				3								2											
DB14726				4			1											4	1		1	4					4																							0				1		4								1	
DB14761																																																																5	
DB14762																																																							5										
DB14765											2								3												3	4										4		4	2	2								2											2
DB14844																			1.5												2																																		2
DB14860											2																															3			2	2																			
DB14865						1.5	2				1.5		1		3				2	2						2					2	1.5								3		2	3	3	1.5	4								2											1.5
DB14883																																																		3															
DB14892													2						2												2	2								1		2		2		3																			2
DB14907																															1																																		
DB14909											2																				2											2																							
DB14910																				3																																			3										
DB14916																										2	2																																						
DB14919																														2																																			
DB14923																									3																																								
DB14930											2																				2	2										2			2	2																			
DB14935																															2											1.5																							2
DB14938																																										4																							
DB14951											3								2												3											2			3																				
DB14962																															5																																		
DB14967																															5	2.5										1																							
DB14973																												4																											2										
DB14986													2																			2										3				3																			2
DB14999							2		2									1		2																										2																		3	1
DB15003						2														2								2															2							2					2										
DB15026									2																																																								
DB15035																																										1.5	2	3																					
DB15044																																												5																					
DB15048																											2																																						
DB15058							3																																																										
DB15068																																										1																							
DB15085				2																						2	2																																						
DB15090									5																																																								
DB15091																				3								4															2							4					4			5							
DB15110																			2												1.5											2												2											
DB15130							2		2			4											4																										2		4										3				
DB15131							2				2		1						2												2									3		2			2	3		3						2	1									3	
DB15133											1								2													1.5										2			1																				
DB15134																															2											0																							
DB15145																																																																3	
DB15149																															2											1.5																							2
DB15157																																												1																					
DB15167																																																													1				
DB15171																											4																																						
DB15173								2		2													2																													2													
DB15198																							2																																										1.5
DB15206																																																																2	
DB15217																										0	1																																						
DB15247																																										2				2																			
DB15280																																																		1								1							
DB15281																																										1																							
DB15289																															2																							2											
DB15293																															2																																		
DB15295																															2																																		
DB15297																	1																																																
DB15317							1.5																																												3														
DB15327																																										3												2											
DB15328																																															5																		
DB15347																												2															2							2								2							
DB15351											3		1.5																													2			2																				
DB15357																																																													3				
DB15359																				2																																													
DB15366																																																						1											
DB15383																			2																									2		2																			
DB15394									1																																																								
DB15410				3																																																													
DB15412																																										1																							
DB15427																																																																2	
DB15534																																			5																														
DB15550																																																																3	
DB15566			5	2		4			5		5				2	4		3	2	3	2			5		4	4	5		1.5	4			4	2.5				1			2	5	3	5	2	4			4				3	4			5		5				4	
DB15568																			3																							3																							
DB15569																																										5																							
DB15598																			3	3																																													
DB15627																																																																	5
DB15631													1						2												2	1								1		1		2		2								2											1
DB15646																																																		2															
DB15650																											3																																						
DB15675																																																																4	
DB15685																																										5																							
DB15690																															5																							5											
DB15718																																																																2.5	
DB15753									1										2	2											3									2		2				3				2				1.5	1									1	
DB15822																			1.5																							5																							
DB15889																			3																																														
DB15898																																																																2.5	
DB15899																																																																2.5	
DB15900																																																																2.5	
DB16019																															1	2																						3											
DB16074																																																		2															
DB16098																																															5																		
DB16105													1																			3										1																							
DB16120							2.5						2						2							2	2				1			1.5								2												1											
DB16124																															2											3																							
DB16130																																														1.5				2															
DB16139																																																													2				
DB16142																																										3																							
DB16145																																			3																														
DB16151																															1.5																																		
DB16165				5																																																													
DB16175																		2.5																																															
DB16179																																																																1.5	
DB16183																																										1																							
DB16216											2																															3			2																				
DB16222															1																													5																					
DB16225											1								2												2													1	1																				
DB16226																												5																																					
DB16241																														2																																			
DB16242																																											2																						
DB16250																			1												1											3				1																			
DB16252																			1.5																							1												1.5											1
DB16261																												5																																					
DB16293																										3	3																																						
DB16300																										2	2																																						
DB16306										2																																																							
DB16351																											3																																				3		
DB16355																																																																5	
DB16385																																																																2	
DB16386									2																			2																																					
DB16390																																										5																							
DB16421																										2	1.5																																						
DB16533			0						3																			3																																				3	
DB16555																																										3																						2	
DB16650						2														2																							2							3					3										
DB16695																			1.5													2										5																							
DB16703																																																							2										
DB16732													1.5						2																							2												1.5											2
DB16778																																																						3											
DB16863									1																																																								
DB16879																																												1																					
DB16886				4																																																													
